code,ind
491,TRN-POSTAL SERVICE
492,TRN-COURIERS AND MESSENGERS
493,TRN-WAREHOUSING AND STORAGE
51111,INF-NEWSPAPER PUBLISHERS
5111Z,INF-PERIODICAL; BOOK; AND DIRECTORY PUBLISHERS
5112,INF-SOFTWARE PUBLISHERS
5121,INF-MOTION PICTURE AND VIDEO INDUSTRIES
5122,INF-SOUND RECORDING INDUSTRIES
515,INF-BROADCASTING; EXCEPT INTERNET
5171,INF-WIRED TELECOMMUNICATIONS CARRIERS
517Z,INF-TELECOMMUNICATIONS; EXCEPT WIRED TELECOMMUNICATIONS CARRIERS
5182,INF-DATA PROCESSING; HOSTING; AND RELATED SERVICES
51912,INF-LIBRARIES AND ARCHIVES
51913,INF-INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS
5191ZM,INF-OTHER INFORMATION SERVICES; EXCEPT LIBRARIES AND ARCHIVES; AND INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS
5221M,FIN-SAVINGS INSTITUTIONS; INCLUDING CREDIT UNIONS
522M,FIN-NONDEPOSITORY CREDIT AND RELATED ACTIVITIES
524,FIN-INSURANCE CARRIERS AND RELATED ACTIVITIES
52M1,FIN-BANKING AND RELATED ACTIVITIES
52M2,FIN-SECURITIES; COMMODITIES; FUNDS; TRUSTS; AND OTHER FINANCIAL INVESTMENTS
531,FIN-REAL ESTATE
5321,FIN-AUTOMOTIVE EQUIPMENT RENTAL AND LEASING
53223,FIN-VIDEO TAPE AND DISK RENTAL
532M,FIN-OTHER CONSUMER GOODS RENTAL
53M,FIN-COMMERCIAL; INDUSTRIAL; AND OTHER INTANGIBLE ASSETS RENTAL AND LEASING
5411,PRF-LEGAL SERVICES
5412,PRF-ACCOUNTING; TAX PREPARATION; BOOKKEEPING; AND PAYROLL SERVICES
5413,PRF-ARCHITECTURAL; ENGINEERING; AND RELATED SERVICES
5414,PRF-SPECIALIZED DESIGN SERVICES
5415,PRF-COMPUTER SYSTEMS DESIGN AND RELATED SERVICES
5416,PRF-MANAGEMENT; SCIENTIFIC; AND TECHNICAL CONSULTING SERVICES
5417,PRF-SCIENTIFIC RESEARCH AND DEVELOPMENT SERVICES
5418,PRF-ADVERTISING; PUBLIC RELATIONS; AND RELATED SERVICES
54194,PRF-VETERINARY SERVICES
5419Z,PRF-OTHER PROFESSIONAL; SCIENTIFIC; AND TECHNICAL SERVICES
55,PRF-MANAGEMENT OF COMPANIES AND ENTERPRISES
5613,PRF-EMPLOYMENT SERVICES
5614,PRF-BUSINESS SUPPORT SERVICES
5615,PRF-TRAVEL ARRANGEMENTS AND RESERVATION SERVICES
5616,PRF-INVESTIGATION AND SECURITY SERVICES
56173,PRF-LANDSCAPING SERVICES
5617Z,PRF-SERVICES TO BUILDINGS AND DWELLINGS; EX CONSTR CLN
561M,PRF-OTHER ADMINISTRATIVE AND OTHER SUPPORT SERVICES
562,PRF-WASTE MANAGEMENT AND REMEDIATION SERVICES
6111,EDU-ELEMENTARY AND SECONDARY SCHOOLS
611M1,EDU-COLLEGES; UNIVERSITIES; AND PROFESSIONAL SCHOOLS; INCLUDING JUNIOR COLLEGES
611M2,EDU-BUSINESS; TECHNICAL; AND TRADE SCHOOLS AND TRAINING
611M3,EDU-OTHER SCHOOLS AND INSTRUCTION; AND EDUCATIONAL SUPPORT SERVICES
6211,MED-OFFICES OF PHYSICIANS
6212,MED-OFFICES OF DENTISTS
62131,MED-OFFICES OF CHIROPRACTORS
62132,MED-OFFICES OF OPTOMETRISTS
6213ZM,MED-OFFICES OF OTHER HEALTH PRACTITIONERS
6214,MED-OUTPATIENT CARE CENTERS
6216,MED-HOME HEALTH CARE SERVICES
621M,MED-OTHER HEALTH CARE SERVICES
622,MED-HOSPITALS
6231,MED-NURSING CARE FACILITIES (SKILLED NURSING FACILITIES)
623M,MED-RESIDENTIAL CARE FACILITIES; EXCEPT SKILLED NURSING FACILITIES
6241,SCA-INDIVIDUAL AND FAMILY SERVICES
6242,SCA-COMMUNITY FOOD AND HOUSING; AND EMERGENCY SERVICES
6243,SCA-VOCATIONAL REHABILITATION SERVICES
6244,SCA-CHILD DAY CARE SERVICES
711,ENT-PERFORMING ARTS; SPECTATOR SPORTS; AND RELATED INDUSTRIES
712,ENT-MUSEUMS; ART GALLERIES; HISTORICAL SITES; AND SIMILAR INSTITUTIONS
71395,ENT-BOWLING CENTERS
713Z,ENT-OTHER AMUSEMENT; GAMBLING; AND RECREATION INDUSTRIES
7211,ENT-TRAVELER ACCOMMODATION
721M,ENT-RECREATIONAL VEHICLE PARKS AND CAMPS; AND ROOMING AND BOARDING HOUSES
7224,ENT-DRINKING PLACES; ALCOHOLIC BEVERAGES
722Z,ENT-RESTAURANTS AND OTHER FOOD SERVICES
811192,SRV-CAR WASHES
8111Z,SRV-AUTOMOTIVE REPAIR AND MAINTENANCE
8112,SRV-ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE
8113,SRV-COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT REPAIR AND MAINTENANCE
8114,SRV-PERSONAL AND HOUSEHOLD GOODS REPAIR AND MAINTENANCE
812111,SRV-BARBER SHOPS
812112,SRV-BEAUTY SALONS
8121M,SRV-NAIL SALONS AND OTHER PERSONAL CARE SERVICES
8122,SRV-FUNERAL HOMES; CEMETERIES AND CREMATORIES
8123,SRV-DRYCLEANING AND LAUNDRY SERVICES
8129,SRV-OTHER PERSONAL SERVICES
8131,SRV-RELIGIOUS ORGANIZATIONS
81393,SRV-LABOR UNIONS
8139Z,SRV-BUSINESS; PROFESSIONAL; POLITICAL; AND SIMILAR ORGANIZATIONS
813M,SRV-CIVIC; SOCIAL; ADVOCACY ORGANIZATIONS; AND GRANTMAKING AND GIVING SERVICES
814,SRV-PRIVATE HOUSEHOLDS
92113,ADM-PUBLIC FINANCE ACTIVITIES
92119,ADM-OTHER GENERAL GOVERNMENT AND SUPPORT
9211MP,ADM-EXECUTIVE OFFICES AND LEGISLATIVE BODIES
923,ADM-ADMINISTRATION OF HUMAN RESOURCE PROGRAMS
928110P1,MIL-U.S. ARMY
928110P2,MIL-U.S. AIR FORCE
928110P3,MIL-U.S. NAVY
928110P4,MIL-U.S. MARINES
928110P5,MIL-U.S. COAST GUARD
928110P6,MIL-U.S. ARMED FORCES; BRANCH NOT SPECIFIED
928110P7,MIL-MILITARY RESERVES OR NATIONAL GUARD
928P,ADM-NATIONAL SECURITY AND INTERNATIONAL AFFAIRS
92M1,ADM-ADMINISTRATION OF ENVIRONMENTAL QUALITY AND HOUSING PROGRAMS
92M2,ADM-ADMINISTRATION OF ECONOMIC PROGRAMS AND SPACE RESEARCH
92MP,ADM-JUSTICE; PUBLIC ORDER; AND SAFETY ACTIVITIES
9920,UNEMPLOYED AND LAST WORKED 5 YEARS AGO OR EARLIER OR NEVER WORKED**
